PO,Part #,Immediate Need (QTY),Order Date,Need By,Elkhart Comments,Albion Comments,Date Shipped
142547,008-213-05,40,11/28/2022,12/5/2022,,SHIP 40 PCS - 1/2 PM,1/2/2023
142547,008-409-04,8,11/28/2022,12/5/2022,,CLOSE PER EMAIL 1/3/23,1/3/2023
142622,023-342-00,18,12/2/2022,12/8/2022,HOT - NEED 1/2,12/14  12/29 - wtg on adjustment screws  1/2 -TL730 - 2 skids  SHIP 18 PCS - 1/2 PM,1/2/2023
142622,023-343-00,61,12/2/2022,12/8/2022,HOT - NEED 1/2,12/14  12/29 - wtg on adjustment screws  1/2 -TL730 - 1 SKID  SHIP 61 PCS - 1/2 PM,1/2/2023
142622,023-343-00,18,12/2/2022,12/8/2022,HOT - NEED 1/2,CLOSE PER EMAIL 1/3/23,1/3/2023
142667,023-342-00,162,12/6/2022,12/12/2022,HOT - NEED 1/2,12/14  12/29 - wtg on adjustment screws  1/2 -TL730 - 2 skids  SHIP 162 PCS - 1/2 PM,1/2/2023
142667,023-342-00,18,12/6/2022,12/12/2022,,12/14  12/29 - wtg on adjustment screws  1/2 -TL730 - 2 skids  SHIP 18 PCS - 1/3 AM-1,1/3/2023
142667,069-033-20,20,12/6/2022,12/12/2022,,CLOSE PER EMAIL 1/3/23,1/3/2023
142667,023-343-00,180,12/6/2022,12/12/2022,,SHIP 180 PCS - 1/4 AM-1,1/4/2023
142667,071-823-00,5,12/6/2022,12/12/2022,,SHIP 5 PCS - 1/5 PM-1,1/5/2023
142667,021-035-00,100,12/6/2022,12/12/2022,,SHIP 100 PCS - 1/11 AM-1,1/11/2023
142713,010-010-00,1500,12/8/2022,12/12/2022,,CLOSE PER EMAIL 1/3/23,1/3/2023
142714,023-325-00,13,12/9/2022,12/12/2022,,SHIP 13 PCS - 1/3 AM-1,1/3/2023
142200,K71-650-00,3,11/3/2023,12/14/2022,CS - HOT - NEED 1/2,"12/15 - PUMP ARRIVED - WTG ON MFG, QA CHK - SHIP 1/2             1/2 - NO STOCK                          SHIP 3 PCS - 1/2 PM",1/2/2023
142716,069-033-20,5,12/9/2022,12/15/2022,,CLOSE PER EMAIL 1/3/23,1/3/2023
142716,002-148-28,80,12/9/2022,12/15/2022,,CLOSE PER EMAIL 1/3/23,1/3/2023
142716,008-250-05,100,12/9/2022,12/15/2022,,CLOSE PER EMAIL 1/3/23,1/3/2023
142750,069-277-06,40,12/13/2022,12/15/2022,HOT - NEED 1/2,SHIP 40 PCS - 1/2 AM,1/2/2023
142766,K23-472-00,4,12/14/2022,12/22/2022,CS - HOT - NEED 1/2,12/29 - BLD_8  1/2 - STAGED  SHIP 4 PCS - 1/2 PM,1/2/2023
142766,K23-473-00,4,12/14/2022,12/22/2022,CS - HOT - NEED 1/2,12/29 - BLD_8  1/2 - STAGED  SHIP 4 PCS - 1/2 PM,1/2/2023
142766,K23-459-00,10,12/14/2022,12/22/2022,CS - HOT - NEED 1/2,12/29 - BLD_8  1/2 - STAGED  SHIP 10 PCS - 1/2 PM,1/2/2023
142775,003-282-00,250,12/14/2022,12/22/2022,HOT - NEED 1/2,SHIP 250 PCS - 1/2 PM,1/2/2023
142775,008-201-09,252,12/14/2022,12/22/2022,,SHIP 252 PCS - 1/2 PM,1/2/2023
142775,013-108-03,4,12/14/2022,12/22/2022,,CLOSE PER EMAIL 1/3/23,1/3/2023
142775,008-285-08,20,12/14/2022,12/22/2022,,SHIP 20 PCS - 1/3 PM-3,1/3/2023
142775,028-053-00,20,12/14/2022,12/22/2022,CS - HOT - NEED 1/2,CLOSE PER EMAIL 1/3/23,1/3/2023
142775,029-001-00,80,12/14/2022,12/22/2022,,SHIP 80 PCS - 1/4 AM-1,1/4/2023
142775,021-088-00,200,12/14/2022,12/22/2022,,SHIP 200 PCS - 1/5 PM-1,1/5/2023
142775,021-036-00,333,12/14/2022,12/22/2022,CS - HOT - NEED 1/9,SHIP 333 PCS - 1/10 PM-2,1/10/2023
142775,021-035-00,2,12/14/2022,12/22/2022,,SHIP 2 PCS - 1/11 PM-3,1/11/2023
142775,021-036-00,73,12/14/2022,12/22/2022,,SHIP 73 PCS - 1/11 PM-3,1/11/2023
142775,021-035-00,198,12/14/2022,12/22/2022,CS - HOT - NEED 1/9,SHIP 198 PCS - 1/11 AM-1,1/11/2023
142789,008-247-05,162,12/15/2022,12/22/2022,,SHIP 162 PCS - 1/2 AM,1/2/2023
142789,023-343-00,90,12/15/2022,12/22/2022,,SHIP 90 PCS - 1/4 AM-2,1/4/2023
142767,069-101-06,50,12/14/2022,1/2/2023,HOT - NEED 1/2,1/2 - BLD_2  SHIP 50 PCS - 1/2 PM,1/2/2023
142767,069-047-05,355,12/14/2022,1/2/2023,,SHIP 355 PCS - 1/2 PM,1/2/2023
142767,069-022-21,20,12/14/2022,1/2/2023,,CLOSE PER EMAIL 1/3/23,1/3/2023
142767,069-023-21,352,12/14/2022,1/2/2023,,SHIP 352 PCS - 1/3 AM-1,1/3/2023
142767,002-239-22,250,12/14/2022,1/2/2023,,SHIP 250 PCS - 1/5 PM-1,1/5/2023
142836,002-122-21,10,12/20/2022,1/2/2023,,SHIP 10 PCS - 1/2 AM,1/2/2023
142836,027-038-02,20,12/20/2022,1/2/2023,,CLOSED 12/22,1/2/2023
142836,003-078-00,30,12/20/2022,1/2/2023,,SHIP 30 PCS - 1/2 AM,1/2/2023
142836,069-081-10,50,12/20/2022,1/2/2023,,SHIP 50 PCS - 1/2 AM,1/2/2023
142836,069-277-06,59,12/20/2022,1/2/2023,HOT - NEED 1/2,SHIP 59 PCS - 1/2 AM,1/2/2023
142836,023-216-00,160,12/20/2022,1/2/2023,HOT - NEED 1/2,SHIP 160 PCS - 1/2 AM,1/2/2023
142836,023-217-00,160,12/20/2022,1/2/2023,HOT - NEED 1/2,SHIP 160 PCS - 1/2 AM,1/2/2023
142836,023-458-00,180,12/20/2022,1/2/2023,,SHIP 180 PCS - 1/2 AM,1/2/2023
142836,023-459-00,180,12/20/2022,1/2/2023,,SHIP 180 PCS - 1/2 AM,1/2/2023
142836,003-677-00,250,12/20/2022,1/2/2023,,SHIP 250 PCS - 1/2 AM,1/2/2023
142836,008-201-05,756,12/20/2022,1/2/2023,HOT - NEED 1/2,SHIP 756 PCS - 1/2 AM,1/2/2023
142836,011-074-01,3000,12/20/2022,1/2/2023,,SHIP 3000 PCS - 1/2 AM,1/2/2023
142836,026-031-01,5000,12/20/2022,1/2/2023,,SHIP 5000 PCS - 1/2 AM,1/2/2023
142836,012-055-01,555,12/20/2022,1/2/2023,,SHIP 555 PCS - 1/2 AM,1/2/2023
142836,008-201-05,336,12/20/2022,1/2/2023,HOT - NEED 1/2,SHIP 336 PCS - 1/3 AM-2,1/3/2023
