Customer_Name,Order_ID,Date_Invoiced,Date_Shipped,Invoice_ID,Item_ID,QTY_Shipped,Product_Category_Code
SH DISTRIBUTING,61063148,7/6/2022,7/6/2022,61087089,D35,20,SA Sprung Axl
GENERAC MOBILE PRODUCTS LLC,61063770,7/6/2022,7/6/2022,61087094,D35,5,SA Sprung Axl
NOVAE CORP.,61063801,7/6/2022,7/6/2022,61087095,D60,8,SA Sprung Axl
NOVAE CORP.,61063801,7/6/2022,7/6/2022,61087095,D70,1,SA Sprung Axl
GENERAC MOBILE PRODUCTS LLC,61064002,7/6/2022,7/6/2022,61087098,D35,30,SA Sprung Axl
GENERAC MOBILE PRODUCTS LLC,61064013,7/6/2022,7/6/2022,61087099,D35,10,SA Sprung Axl
GENERAC MOBILE PRODUCTS LLC,61064180,7/6/2022,7/6/2022,61087100,D20,35,SA Sprung Axl
GENERAC MOBILE PRODUCTS LLC,61064187,7/6/2022,7/6/2022,61087101,D35,50,SA Sprung Axl
GENERAC MOBILE PRODUCTS LLC,61064191,7/6/2022,7/6/2022,61087102,D60,3,SA Sprung Axl
NOVAE CORP.,61064306,7/6/2022,7/6/2022,61087104,D70,2,SA Sprung Axl
GENERAC MOBILE PRODUCTS LLC,61064350,7/6/2022,7/6/2022,61087105,D35,15,SA Sprung Axl
"LIBERTY INDUSTRIES, INC",61064591,7/6/2022,7/6/2022,61087114,D52,2,SA Sprung Axl
"LIBERTY INDUSTRIES, INC",61064591,7/6/2022,7/6/2022,61087114,D70,8,SA Sprung Axl
"LIBERTY INDUSTRIES, INC",61064591,7/6/2022,7/6/2022,61087114,D70,4,SA Sprung Axl
NOVAE CORP.,61064598,7/6/2022,7/6/2022,61087116,D60,2,SA Sprung Axl
NOVAE CORP.,61064598,7/6/2022,7/6/2022,61087116,D60,15,SA Sprung Axl
NOVAE CORP.,61064598,7/6/2022,7/6/2022,61087116,D60,14,SA Sprung Axl
NOVAE CORP.,61064598,7/6/2022,7/6/2022,61087116,D70,60,SA Sprung Axl
BRAVO TRAILERS,61064843,7/6/2022,7/6/2022,61087124,D52,20,SA Sprung Axl
BRAVO TRAILERS,61064843,7/6/2022,7/6/2022,61087124,D70,2,SA Sprung Axl
BRAVO TRAILERS,61064844,7/6/2022,7/6/2022,61087126,D35,6,SA Sprung Axl
"LIBERTY INDUSTRIES, INC",61064864,7/6/2022,7/6/2022,61087128,D70,2,SA Sprung Axl
"LIBERTY INDUSTRIES, INC",61064868,7/6/2022,7/6/2022,61087130,D52,82,SA Sprung Axl
"LIBERTY INDUSTRIES, INC",61064868,7/6/2022,7/6/2022,61087130,D70,6,SA Sprung Axl
NOVAE CORP.,61064904,7/6/2022,7/6/2022,61087134,D60,6,SA Sprung Axl
CASH SALES CALIFORNIA  $$,61907764,7/6/2022,7/6/2022,61087144,D52,2,SA Sprung Axl
"STELLAR INDUSTRIES,INC.",61063295,7/6/2022,7/6/2022,61087090,E-2023-05,2,TA TRFLX AXLE
TWIST INC.,61063353,7/6/2022,7/6/2022,61087091,E-2022-01,10,TA TRFLX AXLE
SH DISTRIBUTING,61063488,7/6/2022,7/6/2022,61087092,#10,20,TA TRFLX AXLE
SH DISTRIBUTING,61063488,7/6/2022,7/6/2022,61087092,#10,20,TA TRFLX AXLE
SH DISTRIBUTING,61063488,7/6/2022,7/6/2022,61087092,#11,10,TA TRFLX AXLE
"STELLAR INDUSTRIES,INC.",61063945,7/6/2022,7/6/2022,61087096,E-2023-05,60,TA TRFLX AXLE
"STELLAR INDUSTRIES,INC.",61063967,7/6/2022,7/6/2022,61087097,E-2023-05,71,TA TRFLX AXLE
TEAM SPIRIT TRAILERS $$,61064408,7/6/2022,7/6/2022,61087106,#11,6,TA TRFLX AXLE
TEAM SPIRIT TRAILERS $$,61064408,7/6/2022,7/6/2022,61087106,#12,5,TA TRFLX AXLE
TEAM SPIRIT TRAILERS $$,61064408,7/6/2022,7/6/2022,61087106,#12,3,TA TRFLX AXLE
MORITZ INTERNATIONAL,61064437,7/6/2022,7/6/2022,61087107,#13,6,TA TRFLX AXLE
MORITZ INTERNATIONAL,61064437,7/6/2022,7/6/2022,61087107,#11,8,TA TRFLX AXLE
MORITZ INTERNATIONAL,61064437,7/6/2022,7/6/2022,61087107,#12,20,TA TRFLX AXLE
MORITZ INTERNATIONAL,61064437,7/6/2022,7/6/2022,61087107,#12,10,TA TRFLX AXLE
GENERAC MOBILE PRODUCTS LLC,61064477,7/6/2022,7/6/2022,61087110,#12,10,TA TRFLX AXLE
GENERAC MOBILE PRODUCTS LLC,61064478,7/6/2022,7/6/2022,61087111,#12,10,TA TRFLX AXLE
WACKER NEUSON AMERICA CORP.,61064554,7/6/2022,7/6/2022,61087113,#9,24,TA TRFLX AXLE
NOVAE CORP.,61064598,7/6/2022,7/6/2022,61087116,#12,30,TA TRFLX AXLE
MAGNUM CUSTOM TRAILERS MFG.,61064660,7/6/2022,7/6/2022,61087117,#11,2,TA TRFLX AXLE
HAULMARK TRAILERS - ELKHART IN,61064682,7/6/2022,7/6/2022,61087119,#11,10,TA TRFLX AXLE
HAULMARK TRAILERS - BRISTOL IN,61064698,7/6/2022,7/6/2022,61087120,#11,1,TA TRFLX AXLE
HAULMARK TRAILERS - BRISTOL IN,61064698,7/6/2022,7/6/2022,61087120,#11,10,TA TRFLX AXLE
HAULMARK TRAILERS - BRISTOL IN,61064698,7/6/2022,7/6/2022,61087120,#11,8,TA TRFLX AXLE
"ALCOM, INC. - ME",61064802,7/6/2022,7/6/2022,61087122,#11,18,TA TRFLX AXLE
