Item,DESCR_1,DESCR_2,Location,Home_Location,Qty_on_Hand,Month_to_Date_Usage,Year_to_Date_Usage,qtyFrzn,ID_LOC_SRC_COST_STD,OsCost,Material,Labor,VarB,ContCost,FixB,Total,costCat,commCode
001-001-00,TUBE 3.00 ODXLT WALL,,61,61,134316,79893,839947,0,13,0.2014,27051.2424,0,0,27051.2424,0,27051.2424,TG,TUBE
001-002-00,TUBE 2.38 ODX.180 WALL,,61,61,102334,79004,1063156,0,0,0.1673,17120.4782,0,0,17120.4782,0,17120.4782,TG,TUBE
001-007-00,TUBE 3.00 ODX.200 WALL,,61,61,152290,109993,1065217,0,0,0.2562,39016.698,0,0,39016.698,0,39016.698,TG,TUBE
001-008-00,TUBE 1.75 ODX.188 WALL,,61,61,18775,5345,65797,0,0,0.12,2253,0,0,2253,0,2253,TG,TUBE
001-031-00,TUBE 3.50 ODX.500 WALL,,61,61,36634,2868,28097,0,0,2.2096,80946.4864,0,0,80946.4864,0,80946.4864,TG,TUBE
001-032-00,TUBE 3.50 ODX.250 WALL,,61,61,8832,3241,60788,0,0,0.3443,3040.8576,0,0,3040.8576,0,3040.8576,TG,TUBE
001-036-00,TUBE 2.38 ODX.156 WALL,,61,61,116645,102458,993607,0,0,0.1466,17100.157,0,0,17100.157,0,17100.157,TG,TUBE
001-045-00,TUBE 2.17 SQX.149 WALL #9,,61,61,43213,12826,108282,0,0,0.1626,7026.4338,0,0,7026.4338,0,7026.4338,TG,TUBE
001-046-00,TUBE 2.62 SQX.187 WALL #10,,61,61,64615,29777,352514,0,0,0.2452,15843.598,0,0,15843.598,0,15843.598,TG,TUBE
001-046-07,TUBE 2.62 SQX.187 WALL,V-BEND 76 MIN HF,61,61,-82,82,2137,0,21,0.2452,-20.1064,0,0,-20.1064,0,-20.1064,TG,TUBE
001-047-00,TUBE 3.03 SQX.203 WALL #11,,61,61,110536,82545,1087696,0,0,0.3087,34122.4632,0,0,34122.4632,0,34122.4632,TG,TUBE
001-048-00,TUBE 3.50 SQX.250 WALL #12,,61,61,90811,13338,517688,0,0,0.4384,39811.5424,0,0,39811.5424,0,39811.5424,TG,TUBE
001-048-06,TUBE 3.50 SQX.250 WALL,V-BEND,61,61,-243,243,2409,0,21,0.4384,-106.5312,0,0,-106.5312,0,-106.5312,TG,TUBE
001-050-00,TUBE 3.88 SQX.250 WALL #13,,61,61,47153,7060,106875,0,0,0.4833,22789.0449,0,0,22789.0449,0,22789.0449,TG,TUBE
001-090-00,TUBE 3.00 ODX.302 WALL,,61,61,21934,13955,161354,0,0,0.333,7304.022,0,0,7304.022,0,7304.022,TG,TUBE
001-098-00,TUBE 2.62 SQX.153 WALL #10,,61,61,157672,122755,1753149,0,0,0.1981,31234.8232,0,0,31234.8232,0,31234.8232,TG,TUBE
001-099-00,TUBE 1.75 ODX.156 WALL,,61,61,12274,2447,58366,0,0,0.1016,1247.0384,0,0,1247.0384,0,1247.0384,TG,TUBE
001-101-00,TUBE 3.50 OD SQX.210 WALL,#12,61,61,16215,16918,236170,0,0,0.3642,5905.503,0,0,5905.503,0,5905.503,TG,TUBE
001-106-00,TUBE 4.25 SQX.250 WALL #14,,61,61,5087,0,766,0,0,0.9526,4845.8762,0,0,4845.8762,0,4845.8762,TG,TUBE
001-135-00,"TUBE 3'"" X 3'"" X 11GA WALL",,61,61,6345,0,3690,0,0,0.2275,1443.4875,0,0,1443.4875,0,1443.4875,TG,TUBE
001-141-00,TUBE .50 SQX .065 WALL X 288.0,,61,61,47281,1320,215037,0,0,0.0486,2297.8566,0,0,2297.8566,0,2297.8566,TG,TUBE
002-101-05,"SPDL D80 4'"" DROP FLG","3.50X.25 WALL, INTR FLG",61,61,23,0,6,0,0,20.605,473.915,0,0,473.915,0,473.915,SP,FORG
002-101-07,"SPDL D80 4'"" DROP FLG","3.50X.50 WALL, INTG FLG",61,61,10,0,0,0,0,26.3501,263.501,0,0,263.501,0,263.501,SP,FORG
002-101-21,"SPDL D80 4'"" DROP EZ & FLG","3.50X.25 WALL, INTG FLG",61,61,4,6,34,0,0,20.8798,83.5192,0,0,83.5192,0,83.5192,SP,FORG
002-101-26,"SPDL D80 4'"" DROP EZ & FLG","3.50X.50 WALL, INTG FLG",61,61,6,0,4,0,0,23.6756,142.0536,0,0,142.0536,0,142.0536,SP,FORG
002-119-22,"SPDL D20 4'"" DROP EZ & FLG",2.38X.16 WALL,61,61,10,0,0,0,35,9.5765,50.757,14.369,23.735,88.861,6.904,95.765,SP,FORG
002-122-04,SPDL D20 STRT MACH,1.75X.18 WALL,61,61,762,0,1950,0,35,2.7066,1691.64,90.6018,216.6366,1998.8784,63.5508,2062.4292,SP,FORG
002-122-21,SPDL D20 STRT EZ W/FTG,1.75X.18 WALL,61,61,132,64,314,0,0,3.9403,520.1196,0,0,520.1196,0,520.1196,SP,FORG
002-131-04,SPDL D35 STRT MACH,2.38X.18 WALL,61,61,15,0,212,0,0,4.7287,70.9305,0,0,70.9305,0,70.9305,SP,FORG
002-131-21,SPDL D35 STRT EZ W/FTG,2.38X.18 WALL,61,61,140,0,85,0,0,5.1825,725.55,0,0,725.55,0,725.55,SP,FORG
002-132-21,"SPDL D35 4'"" DROP EZ W/FTG",2.38X.18,61,61,781,0,8,0,0,9.9889,7801.3309,0,0,7801.3309,0,7801.3309,SP,FORG
002-142-03,SPDL #10 MACH,,61,61,13,4,18,0,35,5.6305,43.3784,9.1299,15.5519,68.0602,5.1363,73.1965,SP,SPIN
002-142-07,SPDL #10 FLG,1.72 OD PRESS-IN,61,61,901,2,332,0,35,6.8649,3447.9468,809.1881,1484.5777,5741.7126,443.5623,6185.2749,SP,SPIN
002-142-21,SPDL #10 EZ W/FTG,,61,61,338,66,732,0,35,6.3658,1144.7384,331.6794,511.6306,1988.0484,163.592,2151.6404,SP,SPIN
002-142-22,SPDL #10 EZ & FLG,,61,61,3281,3412,45720,0,0,6.489,21290.409,0,0,21290.409,0,21290.409,SP,SPIN
002-147-07,SPDL #8 FLG,1.57 PRESS-IN,61,61,400,0,4,0,35,9.5596,2143.44,539.64,866.72,3549.8,274.04,3823.84,SP,SPIN
002-147-26,SPDL #8 EZ W/FTG,,61,61,4,0,122,0,35,10.1979,19.776,10.7708,7.6784,38.2252,2.5664,40.7916,SP,SPIN
002-147-27,SPDL #8 EZ & FLG,,61,61,27,22,166,0,35,11.4237,146.4858,77.9895,64.017,288.4923,19.9476,308.4399,SP,SPIN
002-147-50,SPDL #9 MACH 1.57 PRESS-IN,1.57 PRESS-IN,61,61,50,0,10,0,35,7.943,270.28,39.575,65.415,375.27,21.88,397.15,SP,SPIN
002-147-51,SPDL #9 FLG, 1.57 PRESS-IN,61,61,20,0,46,0,35,9.1607,117.578,19.746,35.194,172.518,10.696,183.214,SP,SPIN
002-147-55,SPDL #9 EZ W/FTG,1.57 PRESS-IN,61,61,201,10,368,0,35,12.6742,1096.5756,479.5659,667.7622,2243.9037,303.6105,2547.5142,SP,SPIN
002-147-56,SPDL #9 EZ & FLG,1.57 PRESS-IN,61,61,291,318,2065,0,35,13.913,1731.45,751.2747,1098.1176,3580.8423,467.8407,4048.683,SP,SPIN
002-147-60,SPDL #8 SHORT EZ W/FTG, ,61,61,114,0,236,0,35,11.7967,521.9034,271.9926,378.7308,1172.6268,172.197,1344.8238,SP,SPIN
002-148-06,SPDL #13 FLG,2.49 OD PRESS-IN,61,61,128,2,42,0,0,16.8232,2153.3696,0,0,2153.3696,0,2153.3696,SP,SPIN
002-148-10,SPDL #13 SHORT FLG,2.49 OD PRESS-IN,61,61,245,5,1664,0,0,14.4405,3537.9225,0,0,3537.9225,0,3537.9225,SP,SPIN
002-148-23,SPDL #13 EZ & FLG,2.49 OD PRESS-IN,61,61,247,38,458,0,0,16.2461,4012.7867,0,0,4012.7867,0,4012.7867,SP,SPIN
002-148-28,SPDL #13 SHORT EZ & FLG,2.49 OD PRESS-IN,61,61,220,134,1736,0,0,15.09,3319.8,0,0,3319.8,0,3319.8,SP,SPIN
002-160-21,SPDL D20 STRT EZ W/FTG,END UNIT 1.25 OD,61,61,37,0,6,0,0,5.4765,202.6305,0,0,202.6305,0,202.6305,SP,SPIN
002-161-22,SPDL D52 STRT EZ & FLG,END UNIT 2.25 OD,61,61,6,0,8,0,0,13.563,81.378,0,0,81.378,0,81.378,SP,SPIN
002-162-04,SPDL D35 STRT MACH,END UNIT 1.75 OD X 4.68,61,61,50,0,0,0,0,6.6217,331.085,0,0,331.085,0,331.085,SP,SPIN
002-162-22,SPDL D35 STRT EZ & FLG,END UNIT 1.75 OD X 4.68,61,61,8,0,8,0,0,7.0195,56.156,0,0,56.156,0,56.156,SP,SPIN
002-164-07,SPDL #12 FLG,2.250 SEAL,61,61,12,35,952,0,0,15.3936,184.7232,0,0,184.7232,0,184.7232,SP,SPIN
002-164-22,SPDL #12 EZ & FLG,2.250 SEAL,61,61,566,370,4840,0,0,13.985,7915.51,0,0,7915.51,0,7915.51,SP,SPIN
002-169-42,"SPDL D70 4'"" DROP FLG","3.00XMED WALL, INTG FLG",61,61,213,0,10,0,0,18.6658,3975.8154,0,0,3975.8154,0,3975.8154,SP,FORG
002-169-43,"SPDL D70 4'"" DROP FLG","3.00XLT WALL, INTG FLG",61,61,196,0,0,0,0,22.2552,4362.0192,0,0,4362.0192,0,4362.0192,SP,FORG
002-169-71,"SPDL D70 4'"" DROP EZ & FLG","3.00XHVY WALL, INTG FLG",61,61,276,260,2340,0,0,18.7592,5177.5392,0,0,5177.5392,0,5177.5392,SP,FORG
002-169-72,"SPDL D70 4'"" DROP EZ & FLG","3.00XMED WALL, INTG FLG",61,61,984,1114,10846,0,0,19.1846,18877.6464,0,0,18877.6464,0,18877.6464,SP,FORG
