Username,ID ITEM,WIC BC,WIC Loc,ID LOC,QTY TRX,Trx Type,DATE TRX,TIME TRX,TRX STATUS
TCM CM - TCM acct,012-002-03,EK88838,SC3A,60,60,Transfer Out,1/3/2023,5:59:56,SUCCESS
,012-002-03,WIC VOID,DEF,60,60,Transfer In,1/3/2023,5:59:56,SUCCESS
,011-017-01,EK88802,SC3C,60,200,Transfer Out,1/3/2023,6:00:26,SUCCESS
,011-017-01,WIC VOID,DEF,60,200,Transfer In,1/3/2023,6:00:26,SUCCESS
,069-101-07,EK88893,SU4A,60,40,Transfer Out,1/3/2023,6:01:34,SUCCESS
,069-101-07,WIC VOID,DEF,60,40,Transfer In,1/3/2023,6:01:34,SUCCESS
,072-022-00,A7942904,NOSW,61,408,Transfer Out,1/3/2023,6:10:36,SUCCESS
,072-022-00,A7942904,NSPR1,61,408,Transfer In,1/3/2023,6:10:36,SUCCESS
,063-010-00,NEW WIC BC,REC,61,56970,Transfer Out,1/3/2023,6:17:05,SUCCESS
,063-010-00,EK90930,REC,61,56970,Transfer In,1/3/2023,6:17:05,SUCCESS
,063-010-00,NEW WIC BC,REC,61,54190,Transfer Out,1/3/2023,6:17:25,SUCCESS
,063-010-00,EK90931,REC,61,54190,Transfer In,1/3/2023,6:17:25,SUCCESS
,063-010-00,EK90931,REC,61,54190,Transfer Out,1/3/2023,6:44:09,SUCCESS
,063-010-00,EK90931,SCUT,60,54190,Transfer In,1/3/2023,6:44:09,SUCCESS
,023-459-00,NEW WIC BC,REC,61,90,Transfer Out,1/3/2023,6:52:21,SUCCESS
,023-459-00,A8372368,SA3D,60,90,Transfer In,1/3/2023,6:52:21,SUCCESS
,023-105-00,EK89050,SPRUNG1,60,90,Transfer Out,1/3/2023,6:56:05,SUCCESS
,023-105-00,EK89050,SA4A,60,90,Transfer In,1/3/2023,6:56:05,SUCCESS
,023-459-00,NEW WIC BC,REC,61,90,Transfer Out,1/3/2023,6:58:01,SUCCESS
,023-459-00,A8372426,SA3C,60,90,Transfer In,1/3/2023,6:58:01,SUCCESS
,021-039-00,EK90914,REC,61,2300,Transfer Out,1/3/2023,7:06:01,SUCCESS
,021-039-00,EK90914,SE6D,60,2300,Transfer In,1/3/2023,7:06:01,SUCCESS
,021-003-00,EK90913,REC,61,1000,Transfer Out,1/3/2023,7:08:19,SUCCESS
,021-003-00,EK90913,SE6D,60,1000,Transfer In,1/3/2023,7:08:19,SUCCESS
,021-041-01,EK90917,REC,61,4000,Transfer Out,1/3/2023,7:16:07,SUCCESS
,021-041-01,EK90917,SE5D,60,4000,Transfer In,1/3/2023,7:16:07,SUCCESS
,021-041-01,EK90915,REC,61,4000,Transfer Out,1/3/2023,7:16:14,SUCCESS
,021-041-01,EK90915,SE5D,60,4000,Transfer In,1/3/2023,7:16:14,SUCCESS
,021-041-01,EK90918,REC,61,4000,Transfer Out,1/3/2023,7:20:25,SUCCESS
,021-041-01,EK90918,SE5C,60,4000,Transfer In,1/3/2023,7:20:25,SUCCESS
,069-081-11,EK89659,NB4E,61,111,Transfer Out,1/3/2023,7:25:56,SUCCESS
,069-081-11,EK89659,SU4A,60,111,Transfer In,1/3/2023,7:25:56,SUCCESS
,021-041-01,EK90916,REC,61,4000,Transfer Out,1/3/2023,7:26:24,SUCCESS
,021-041-01,EK90916,SE5D,60,4000,Transfer In,1/3/2023,7:26:24,SUCCESS
,021-041-01,EK90918,SE5C,60,4000,Transfer Out,1/3/2023,7:26:30,SUCCESS
,021-041-01,EK90918,SE5D,60,4000,Transfer In,1/3/2023,7:26:30,SUCCESS
,023-343-00,EK89938,NI9C,61,12,Transfer Out,1/3/2023,7:27:05,SUCCESS
,023-343-00,EK89938,SI1A,60,12,Transfer In,1/3/2023,7:27:05,SUCCESS
,021-043-01,EK90911,REC,61,2300,Transfer Out,1/3/2023,7:32:05,SUCCESS
,021-043-01,EK90911,SE4D,60,2300,Transfer In,1/3/2023,7:32:05,SUCCESS
,021-043-01,EK90910,REC,61,2300,Transfer Out,1/3/2023,7:32:12,SUCCESS
,021-043-01,EK90910,SE4D,60,2300,Transfer In,1/3/2023,7:32:12,SUCCESS
,A1691358,NEW WIC BC,REC,61,50,Transfer Out,1/3/2023,7:34:00,SUCCESS
,A1691358,EK90932,REC,61,50,Transfer In,1/3/2023,7:34:00,SUCCESS
,003-501-00,NEW WIC BC,REC,61,256,Transfer Out,1/3/2023,7:34:11,SUCCESS
,003-501-00,EK90933,REC,61,256,Transfer In,1/3/2023,7:34:11,SUCCESS
,003-501-00,NEW WIC BC,REC,61,258,Transfer Out,1/3/2023,7:34:19,SUCCESS
,003-501-00,EK90934,REC,61,258,Transfer In,1/3/2023,7:34:19,SUCCESS
,003-501-00,NEW WIC BC,REC,61,257,Transfer Out,1/3/2023,7:34:28,SUCCESS
,003-501-00,EK90935,REC,61,257,Transfer In,1/3/2023,7:34:28,SUCCESS
